game_id,category,clue,correct_response,round
9262,16-LETTER WORDS,Pharrell Williams & documentarian Morgan Neville voiced themselves in this Lego-based animadoc,"$2000
8",Double Jeopardy
9262,16-LETTER WORDS,"Unable to be broken down by microorganisms--like Styrofoam, which takes about 500 years to decompose","$2000
13",Double Jeopardy
9262,20th CENTURY NAMES,"According to one obituary, in 1935 he owned 13 magazines, 8 radio stations, 2 movie companies & $56 million in real estate","According to one obituary, in 1935 he owned 13 magazines, 8 radio stations, 2 movie companies & $56 million in real estate",Final Jeopardy
9261,WORLD GEOGRAPHY,It's the more cheerful name for the African promontory once called the Cape of Storms,"$200
30",Jeopardy
9261,WORLD GEOGRAPHY,"""Bohemian Rhapsody"" earned him an Oscar for his ""mercurial"" performance","$200
28",Jeopardy
9261,WORLD GEOGRAPHY,Heads up! Miners & construction workers owe thanks to Edward Bullard for his design of this alliterative safety gear,"$200
22",Jeopardy
9261,WORLD GEOGRAPHY,"""Huevos verdes con jamón""","$200
20",Jeopardy
9261,WORLD GEOGRAPHY,"For Egyptians, 2 goats; for Arabs, 2 peacocks","$200
29",Jeopardy
9261,THE MOVIES,"As ""Sirloin Noggin"" didn't pop quite as well, people went with this quasi-synonym for a not-so-intelligent person","$200
27",Jeopardy
9261,THE MOVIES,"This river flows from south to north, passing through 11 countries before emptying into the Mediterranean","$400
23",Jeopardy
9261,THE MOVIES,"Vince Vaughn is the owner of Average Joe's Gym in this ""True Underdog Story""","$400
25",Jeopardy
9261,THE MOVIES,"Helping us to drive safer in the rain, Mary Anderson invented this device in 1903 but sadly, never made any money from it","$400
21",Jeopardy
9261,THE MOVIES,"""El l león, la bruja y el ropero""","$400
19",Jeopardy
9261,INVENTORS & INVENTIONS,"A harvest maiden--maybe Ishtar, maybe Persephone","$400
26",Jeopardy
9261,INVENTORS & INVENTIONS,"Alyssa Milano used this 2-word phrase on social media in 2017, sharing her experience of sexual abuse to try to help other survivors","$400
24",Jeopardy
9261,INVENTORS & INVENTIONS,"About 50 miles east of the Florida coast, the Bimini Islands are part of this larger chain","$600
1",Jeopardy
9261,INVENTORS & INVENTIONS,Robert Pattinson is the title character (& the reborn versions thereof) in this 2025 film from Bong Joon Ho,"$600
7",Jeopardy
9261,INVENTORS & INVENTIONS,"Take note--in Britain, this implement is called a Biro, after its modern-day inventor László Bíró","$600
4",Jeopardy
9261,KID LIT EN ESPAÑOL,"""Ricitos de oro y los tres osos""","$600
18",Jeopardy
9261,KID LIT EN ESPAÑOL,It had a Golden Fleece,"$600
9",Jeopardy
9261,KID LIT EN ESPAÑOL,"Black's Law Dictionary defines it as ""a neutral person who tries to help disputing parties reach an agreement""","$600
12",Jeopardy
9261,KID LIT EN ESPAÑOL,This small kingdom in the Himalayas lies between Tibet & India,"$800
2",Jeopardy
9261,KID LIT EN ESPAÑOL,"This actor's relaxation technique of humming & chest thumping made it into a scene of ""The Wolf of Wall Street""","$800
16",Jeopardy
9261,THE MYTH BEHIND THE ZODIAC SIGN,"Motorola employee Martin Cooper is regarded as the ""father of"" this, having led the team that built the first one in the 1970s","$800
6",Jeopardy
9261,THE MYTH BEHIND THE ZODIAC SIGN,"""Una arruga en el tiempo""","$800
5",Jeopardy
9261,THE MYTH BEHIND THE ZODIAC SIGN,Pinched Heracles whilst the hero was fighting a Hydra,"$800
10",Jeopardy
9261,THE MYTH BEHIND THE ZODIAC SIGN,"It precedes ""labor"" regarding boring, low-status & poorly paid work","$800
13",Jeopardy
9261,THE MYTH BEHIND THE ZODIAC SIGN,"Located on the Seltjarnarnes Peninsula, it's the northernmost capital of a country","$1000
3",Jeopardy
9261,"IT STARTS WITH ""ME""","You might not remember ""Lucky Numbers"", the next film she directed after ""You've Got Mail""","$1000
17",Jeopardy
9261,"IT STARTS WITH ""ME""","After litigation against Isaac Singer & others, he received royalties on all U.S. sewing machines from 1854 until 1867","$1000
8",Jeopardy
9261,"IT STARTS WITH ""ME""","""Nublado con proegabilidades de albóndigas""","DD: $3,000
15",Jeopardy
9261,"IT STARTS WITH ""ME""","Pan, who jumped into a river & became a mer-Pan","$1000
11",Jeopardy
9261,"IT STARTS WITH ""ME""",Put that in your tobacco pipe with a bowl made of this white clay-like substance & smoke it,"$1000
14",Jeopardy
9261,CLASSICAL MUSIC,"This iconic Tchaikovsky piece commemorates the Battle of Borodino, not the war between the U.S. & Great Britain","$400
26",Double Jeopardy
9261,CLASSICAL MUSIC,"Paris Hilton & Nicole Richie recently reunited for ""Encore"", a 3-part anniversary special of this series","$400
27",Double Jeopardy
9261,CLASSICAL MUSIC,For this 1972 book Hunter S. Thompson did some sinning (& a lot of drugs) in Sin City,"$400
28",Double Jeopardy
9261,CLASSICAL MUSIC,"Since we're in London, let's visit the British Museum & see one of the statues called Moai, far from home, this place in the Pacific","$400
29",Double Jeopardy
9261,CLASSICAL MUSIC,"Meaning unvarying in pitch, it can also refer to something boringly repetitious","$400
30",Double Jeopardy
9261,REALITY TV,"In 1690 Henri de Massue abandoned France to serve the king of England, who created him Viscount Galway for his service here","$400
25",Double Jeopardy
9261,REALITY TV,"""The Red Priest"" wasn't just a cool nickname; this composer had a shock of red hair & was ordained in 1703","$800
2",Double Jeopardy
9261,REALITY TV,"In 2025, this Bond girl & former Beverly Hills housewife starred with her daughters & husband in her own series","$800
21",Double Jeopardy
9261,REALITY TV,"In 1977 Jay Anson detailed the ""Horror"" here of trying to live with very unwanted houseguests","$800
15",Double Jeopardy
9261,REALITY TV,"Grab the binoculars, we're birding; I hear tap-tap-tapping & see the red-headed type of this bird, called a flying checkerboard","$800
22",Double Jeopardy
9261,GEOGRAPHIC LITERARY TITLES,"This synonym for ""wearisome"" keeps the ""some"" & begins with a word meaning ""to weary""","$800
23",Double Jeopardy
9261,GEOGRAPHIC LITERARY TITLES,Veteran politician Henri Queuille spurned the Vichy government for this alliterative movement led by de Gaulle,"$800
24",Double Jeopardy
9261,GEOGRAPHIC LITERARY TITLES,"Arnold Schoenberg & his pupils Alban Berg & Anton Webern are the modernist pillars of the ""second school"" of this city","$1200
1",Double Jeopardy
9261,GEOGRAPHIC LITERARY TITLES,"Guy Fieri samples the food at these 3 types of places, per the title of the series known as ""DDD"" for short","$1200
20",Double Jeopardy
9261,GEOGRAPHIC LITERARY TITLES,"In a Jonathan Lethem novel, Lionel & his friends are called ""Motherless"" this place","$1200
5",Double Jeopardy
9261,WHAT ARE WE GOING TO DO NOW?,"I injured my foot & should do the exercises assigned in P.T., short for this; time to pick up marbles with my toes","$1200
7",Double Jeopardy
9261,WHAT ARE WE GOING TO DO NOW?,"Oscar Wilde's Lady Windermere is told, ""People are either charming or"" this 7-letter word for boring (she's the former)","$1200
9",Double Jeopardy
9261,WHAT ARE WE GOING TO DO NOW?,"Citadelle Henri, one of the largest fortresses in the Americas, was built by Henri Christophe, king of this country","$1200
11",Double Jeopardy
9261,WHAT ARE WE GOING TO DO NOW?,"This avant-garde Stravinsky opera about puppets come to life features a novel chord, which is named for the piece","$1600
3",Double Jeopardy
9261,WHAT ARE WE GOING TO DO NOW?,We'll spare you any videos but dermatologist Sandra Lee has gained a large following on TV under this nickname,"$1600
14",Double Jeopardy
9261,I'M BORED,"A Henry James title took us to this ""presidential"" area of Lower Manhattan","$1600
12",Double Jeopardy
9261,I'M BORED,"Read ""Lockwood's Rule of Thumb & Forefinger"" to learn this game; maybe we'll be good enough to compete in its world championships","$1600
6",Double Jeopardy
9261,I'M BORED,A word meaning boring gave us this name for a boring burg that we can't find in our atlas,"DD: $3,800
8",Double Jeopardy
9261,I'M BORED,"Henri de Tonti explored the Mississippi with this Sieur & for a post he founded, has been called ""Father of Arkansas""","$1600
10",Double Jeopardy
9261,I'M BORED,"This German composer of ""A Midsummer Night's Dream"" is also responsible for renewing interest in the works of Bach","$2000
4",Double Jeopardy
9261,A SENSE OF HENRI,"When this show premiered in 2010, Kody Brown had 3 spouses, going on 4; today, he's down to 1","$2000
17",Double Jeopardy
9261,A SENSE OF HENRI,"In the 1930s Somerset Maugham & John O'Hara wrote of an ""Appointment in"" this city","$2000
13",Double Jeopardy
9261,A SENSE OF HENRI,"We can listen to '80s new wave music or watch French New Wave cinema, like ""Breathless"", this director's first feature film","$2000
18",Double Jeopardy
9261,A SENSE OF HENRI,"In the world of -ery suffixes, tomfoolery & finery are more fun than this word for boring work, but slavery's worse","$2000
19",Double Jeopardy
9261,A SENSE OF HENRI,"This Florence-born woman, a major force in 16th c. Europe, was the wife of French King Henri II & the mother of Henri III","DD: $5,000
16",Double Jeopardy
9261,THEORIES,"A version of this theoretical economic process was ""horse & sparrow""; if you fed the horse enough oats, the sparrows fed afterwards","A version of this theoretical economic process was ""horse & sparrow""; if you fed the horse enough oats, the sparrows fed afterwards",Final Jeopardy
9260,TRY ME A RIVER,"The U.S. has the Red River of the North; this country has the Red River of the North Island, flowing into the Akitio River","$200
11",Jeopardy
9260,TRY ME A RIVER,"""____ Receives the Head of John the Baptist"" by Caravaggio","$200
7",Jeopardy
9260,TRY ME A RIVER,"Published weekly from 1936 to 1972, this companion of Time magazine was known for its vivid photojournalism","$200
30",Jeopardy
9260,TRY ME A RIVER,"Japan's tallest mountain, it's actually a volcano that hasn't erupted since 1707","$200
19",Jeopardy
9260,TRY ME A RIVER,This avian term for a type of competition once meant a petition written in a circle to conceal the order of signing,"$200
22",Jeopardy
9260,BLANK CANVAS,"(Javier Bardem presents the clue.) After I got the role of King Triton, I told my seven-year-old daughter I was going to be in this movie; she then asked if I was going to play the title girl & I told her the role was already in amazing hands with Halle Bailey","$200
5",Jeopardy
9260,BLANK CANVAS,"Liechtenstein's capital, Vaduz, lies in a valley of this river that starts in the Swiss Alps","$400
29",Jeopardy
9260,BLANK CANVAS,"""The Treachery of Images (This Is Not a ____)"" by René Magritte","$400
8",Jeopardy
9260,BLANK CANVAS,"Gillian Flynn & Ryan Murphy both wrote for this mag, a ""Pop-Culture Bible"" that ceased print publication in 2022","$400
28",Jeopardy
9260,BLANK CANVAS,"Popular Science wrote about how this N.Y. troupe puts the tallest members in the center, giving an illusion of equal height","$400
20",Jeopardy
9260,NO LONGER IN PRINT,"Stogie, slang for a cigar, goes back to this type of covered wagon; perhaps its drivers liked to chomp on a big fat stogie","$400
23",Jeopardy
9260,NO LONGER IN PRINT,"(Javier Bardem presents the clue.) In the TV series ""Monsters"", I played José, the real-life father of these Beverly Hills brothers","$400
15",Jeopardy
9260,NO LONGER IN PRINT,"Arkansas' White River was a favorite of the late Dave Whitlock, part of the ""Mount Rushmore of"" this, angling with fake bugs","$600
1",Jeopardy
9260,NO LONGER IN PRINT,"""Vase with Twelve ____"" by Vincent van Gogh","$600
9",Jeopardy
9260,NO LONGER IN PRINT,"This gen-Z favorite ceased print publication in 2017, but its ""big sister"" at Condé Nast still prints ginormous hard copies","$600
4",Jeopardy
9260,POTPOURRI,"A 2025 book by John Green is called ""Everything is"" this disease that usually affects the lungs","$600
21",Jeopardy
9260,POTPOURRI,The word for this savory jelly takes its name from a snake that supposedly killed an ancient queen,"$600
24",Jeopardy
9260,POTPOURRI,"(Javier Bardem presents the clue.) Five married couples have been nominated for acting Oscars in the same year; when my wife & I joined the club, I was up for ""Being the Ricardos"" & she for ""Parallel Mothers""","$600
16",Jeopardy
9260,POTPOURRI,"For about 80 of its 1,560 miles, this sacred river is shared by India & Bangladesh","$800
2",Jeopardy
9260,POTPOURRI,"""Cow's ____: Red, White, and Blue"" by Georgia O'Keeffe","$800
14",Jeopardy
9260,WORD & PHRASE ORIGINS,"This magazine ended its print edition in 2010, but its annual rankings guides are still helping us decide where to go to school & retire","$800
6",Jeopardy
9260,WORD & PHRASE ORIGINS,This type of fortified wine is from the area around the city of Jerez de la Frontera in Spain's Andalusia region,"$800
26",Jeopardy
9260,WORD & PHRASE ORIGINS,It's the 1714  document regarding insurgents that's a phrase sometimes used in an angry confrontation,"DD: $1,000
12",Jeopardy
9260,WORD & PHRASE ORIGINS,"(Javier Bardem presents the clue.) In this 2012 film, I played Silva, a former agent bent on revenge against M, a mission he completes when Judi Dench's character dies","$800
17",Jeopardy
9260,WORD & PHRASE ORIGINS,"The Madeira River, a major tributary of the Amazon, is on the border of these 2 nations that start with the same letter","$1000
3",Jeopardy
9260,A JAVIER BARDEM RETROSPECTIVE,"""The Great ____ off Kanagawa"" by Katsushika Hokusai","$1000
10",Jeopardy
9260,A JAVIER BARDEM RETROSPECTIVE,"This paper's print edition ended in 2009, but its iconic neon globe still reminds Seattle residents, ""It's in the P-I""","$1000
25",Jeopardy
9260,A JAVIER BARDEM RETROSPECTIVE,This St. Louis landmark in a national park of the same name represents a door to the Western United States,"$1000
27",Jeopardy
9260,A JAVIER BARDEM RETROSPECTIVE,"A Greek god of magic ""sealed"" the deal as the origin of this word--sealed it airtight","$1000
13",Jeopardy
9260,A JAVIER BARDEM RETROSPECTIVE,"(Javier Bardem presents the clue.) We were fortunate to have Gabriel García Márquez send us script notes for this 2007 film based on his novel, in which I played Florentino Ariza","$1000
18",Jeopardy
9260,RUSSIAN HISTORY,"Weighing nearly 3,000 pounds, the third of these Soviet satellites was launched on May 15, 1958","$400
27",Double Jeopardy
9260,RUSSIAN HISTORY,"In ""The Divine Comedy"", this Roman poet serves as an informative guide through purgatory & hell","$400
29",Double Jeopardy
9260,RUSSIAN HISTORY,"Mexican ecologist Rodrigo Medellín captured the first video of a birth by this animal, with the mother hanging upside-down","$400
28",Double Jeopardy
9260,RUSSIAN HISTORY,Keen-nosed animal breeds used to find truffles include Lagotto romagnolo dogs & Spanish black these,"$400
23",Double Jeopardy
9260,RUSSIAN HISTORY,"With all due respect to Mr. Sumner & The Police, this No. 1 single of 1983 simply reeks of unsavory clinginess","$400
30",Double Jeopardy
9260,GREAT LITERATURE BEFORE 2000,It's been called the most famous rock music festival of the 1960s,"$400
22",Double Jeopardy
9260,GREAT LITERATURE BEFORE 2000,In 1867 Czar Alexander II sold Alaska to the U.S. & sweetened the deal by throwing in these islands,"$800
26",Double Jeopardy
9260,GREAT LITERATURE BEFORE 2000,"Goethe's ""Faust"" tracks a disillusioned scholar's despair at life leading to a dangerous wager with this devil","$800
25",Double Jeopardy
9260,GREAT LITERATURE BEFORE 2000,The six species of these long-necked birds are born gray or white; their diet turns them pink,"$800
24",Double Jeopardy
9260,GREAT LITERATURE BEFORE 2000,Out to harvest the Oregon truffle? Try looking around the roots of the Douglas type of this 3-letter tree,"$800
21",Double Jeopardy
9260,ALL ABOUT ANIMALS,"Snow Patrol's ""Chasing Cars"" is lovely... but also a tragic reminder of Izzie sobbing over Denny's deathbed on this TV show","$800
19",Double Jeopardy
9260,ALL ABOUT ANIMALS,It's time to hit the lake & have some fun on this type of boat,"$800
20",Double Jeopardy
9260,ALL ABOUT ANIMALS,"Stalin laid down the law with what's called ""The Great"" this, which found many old Bolsheviks jailed & executed","$1200
3",Double Jeopardy
9260,ALL ABOUT ANIMALS,A seaman travels into the African interior in search of an ivory trader in this work exposing colonialist evils,"$1200
4",Double Jeopardy
9260,ALL ABOUT ANIMALS,The nine-spotted species of this beetle is the state insect of New York,"DD: $4,000
9",Double Jeopardy
9260,HERE COMES TRUFFLE,"Once a chef on ""Friends"", she shared Brandi Carlile's recipe for coffee-truffle steak with her 15 million Instagram followers","$1200
13",Double Jeopardy
9260,HERE COMES TRUFFLE,"Though both charming & apropos, ""Marry You"" by this Super Bowl halftime veteran is entirely out of the question: overused!","$1200
16",Double Jeopardy
9260,HERE COMES TRUFFLE,It's the style of music associated with The Marcels & Frankie Lymon & The Teenagers,"$1200
6",Double Jeopardy
9260,HERE COMES TRUFFLE,In 1613 Mikhail became the first czar of this dynasty that would rule Russia for 300 years,"$1600
1",Double Jeopardy
9260,HERE COMES TRUFFLE,A man makes numerous failed attempts to gain access to a the title edifice to improve his situation in this Franz Kafka novel,"DD: $5,000
5",Double Jeopardy
9260,NOT OUR WEDDING SONG,The Detroit Zoo has 2 of the Eurasian type of this tough animal of the weasel family that in some ways is more like a bear,"$1600
11",Double Jeopardy
9260,NOT OUR WEDDING SONG,"Flatter than linguine, & with a silent G, this pasta is a traditional base for truffles","$1600
14",Double Jeopardy
9260,NOT OUR WEDDING SONG,"Sadly, a string quartet can't nail the barefoot hippie vibes essential to this diamond-certified Jason Mraz hit","$1600
17",Double Jeopardy
9260,NOT OUR WEDDING SONG,"This surgical procedure, in which nerve connections in the brain are severed, is no longer used to treat mental illness","$1600
7",Double Jeopardy
9260,NOT OUR WEDDING SONG,"Russian for ""restructuring"", this policy was launched by Gorbachev to ""borscht up"" the economy","$2000
2",Double Jeopardy
9260,"3 ""O""s",Giuseppe di Lampedusa's only novel was about an aging aristocrat with this title animal on his family crest,"$2000
10",Double Jeopardy
9260,"3 ""O""s",The name of this rodent comes from a native people of the Andes who ate them as well as wearing their precious fur,"$2000
12",Double Jeopardy
9260,"3 ""O""s","Between January & March, Bianchetto truffles are found in this Italian region just south & east of Tuscany","$2000
15",Double Jeopardy
9260,"3 ""O""s","The pottery scene in the movie ""Ghost"" is too messy for me, a neat freak, so this Righteous Brothers ballad is a hard pass","$2000
18",Double Jeopardy
9260,"3 ""O""s",It's the study of mountains & how they are formed,"$2000
8",Double Jeopardy
9260,FAMOUS BUILDINGS,"Opened in 1902, it's 87 feet in width on the 22nd Street side & less than 7 feet wide at its narrowest point on 23rd Street","Opened in 1902, it's 87 feet in width on the 22nd Street side & less than 7 feet wide at its narrowest point on 23rd Street",Final Jeopardy
9259,EXODUSTERS,The Exoduster movement saw thousands of Black farmers move west to Kansas post-Civil War; many used this 1862 act to get land,"$200
28",Jeopardy
9259,EXODUSTERS,"With 10% of the world's deposits, Africa's Copperbelt extends 280 miles across Zambia into this nation, the DRC for short","$200
29",Jeopardy
9259,EXODUSTERS,"A few years after it was safe to do so, in 1961 this city got renamed Volgograd","$200
30",Jeopardy
9259,EXODUSTERS,A high wire gymnast terminating in a flying mammal,"$200
27",Jeopardy
9259,EXODUSTERS,In 2020 this restaurant said goodbye to potato wedges & hello to Secret Recipe Fries,"$200
26",Jeopardy
9259,THROWING COPPER,Singer & entrepreneur Ray J is the brother of this singer with a name like a potent potable,"$200
25",Jeopardy
9259,THROWING COPPER,Frederick Douglass thought Black westward migration would fail to help this party as folks would go where it was already strong,"$400
15",Jeopardy
9259,THROWING COPPER,"More than 80 tons of copper went into making this U.S. structure, mostly in the form of sheets less than 1/8 of an inch thick","$400
21",Jeopardy
9259,THROWING COPPER,"After partition in 1947, East Bengal became East Pakistan & following a civil war in 1971, took this name","$400
22",Jeopardy
9259,THROWING COPPER,A getaway concluding in a tailless primate,"$400
23",Jeopardy
9259,REVISING THE ATLAS,In 2004 McDonald's phased out this fry & drink option in order to trim down the menu,"$400
24",Jeopardy
9259,REVISING THE ATLAS,"Twin brothers Benji & Joel Madden started this pop-punk band known for ""The Anthem"" & ""Lifestyles of the Rich & Famous""","$400
2",Jeopardy
9259,REVISING THE ATLAS,Mass Black migration out of the South ramped up after Rutherford B. Hayes effectively ended this era in 1877,"DD: $2,000
6",Jeopardy
9259,REVISING THE ATLAS,"These discoveries of the 1940s & '50s include ""The Copper Scroll"", with directions to places with hidden gold & silver treasure","$600
13",Jeopardy
9259,REVISING THE ATLAS,"In 1954 Mauch Chunk, or ""Bear Mountain"", & East Mauch Chunk merged to form a Pennsylvania borough named for this athlete","$600
1",Jeopardy
9259,BEASTLY ENDINGS,Member of the ruling class or nobility finished off by a long-tailed rodent,"$600
10",Jeopardy
9259,BEASTLY ENDINGS,"Grab some fries & a MooLatté from this ""royal"" chain co-founded by Sherb Boble, an ice cream businessman","$600
7",Jeopardy
